id,date,sale_year,yr_built,yr_renovated,reason,price,bedrooms,bathrooms,sqft_living,zipcode,lat,long
6169901185,20140520T000000,2014,2015,0,construction_after_sale,490000.0,5,3.5,4460,98119,47.6313,-122.37
7284900030,20140522T000000,2014,1923,2015,renovation_after_sale,850000.0,4,3.25,3090,98177,47.768,-122.388
3585900665,20140606T000000,2014,1956,2015,renovation_after_sale,805000.0,5,2.5,4600,98177,47.7608,-122.378
9126100346,20140617T000000,2014,2015,0,construction_after_sale,350000.0,3,2.0,1380,98122,47.6074,-122.305
1250200495,20140624T000000,2014,2015,0,construction_after_sale,455000.0,2,1.5,1200,98144,47.6001,-122.298
1832100030,20140625T000000,2014,2015,0,construction_after_sale,597326.0,4,4.0,3570,98040,47.5784,-122.226
8935100100,20140701T000000,2014,1945,2015,renovation_after_sale,476000.0,4,3.0,2890,98115,47.6763,-122.282
1257201420,20140709T000000,2014,2015,0,construction_after_sale,595000.0,4,3.25,3730,98103,47.6725,-122.33
8712100320,20140728T000000,2014,1922,2015,renovation_after_sale,585000.0,5,2.75,2350,98112,47.6388,-122.3
6058600220,20140731T000000,2014,2015,0,construction_after_sale,230000.0,3,1.5,1040,98144,47.5951,-122.301
9126100765,20140801T000000,2014,2015,0,construction_after_sale,455000.0,3,1.75,1320,98122,47.6047,-122.305
2770601530,20140826T000000,2014,2015,0,construction_after_sale,500000.0,2,2.25,1570,98199,47.6514,-122.385
9310300160,20140828T000000,2014,2015,0,construction_after_sale,357000.0,5,2.5,2990,98133,47.7384,-122.348
3585900190,20141006T000000,2014,1955,2015,renovation_after_sale,825000.0,3,2.5,3400,98177,47.7611,-122.372
9141100005,20141028T000000,2014,1940,2015,renovation_after_sale,285000.0,4,3.5,2770,98133,47.7412,-122.355
3076500830,20141029T000000,2014,2015,0,construction_after_sale,385195.0,1,1.0,710,98144,47.5756,-122.316
5694500840,20141125T000000,2014,2015,0,construction_after_sale,559000.0,2,3.0,1650,98103,47.6611,-122.346
9520900210,20141231T000000,2014,2015,0,construction_after_sale,614285.0,5,2.75,2730,98072,47.7685,-122.16
