id,date,flags,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,sqft_per_bedroom,approx_footprint,condition,grade,yr_built,yr_renovated,zipcode,lat,long
2062600020,20140708T000000,approx_footprint_gt_lot,530000.0,2,2.5,1785,779,2.0,1595,190,892.5,797.5,3,7,1975,0,98004,47.5959,-122.198
2559950110,20150422T000000,approx_footprint_gt_lot,1234570.0,2,2.5,2470,609,3.0,1910,560,1235.0,636.6666666666666,3,11,2011,0,98112,47.6182,-122.312
3277800845,20140711T000000,approx_footprint_gt_lot,370000.0,3,1.0,1170,1105,1.0,1170,0,390.0,1170.0,3,7,1965,0,98126,47.5448,-122.375
9828702895,20141022T000000,approx_footprint_gt_lot,700000.0,4,1.75,2420,520,1.5,2420,0,605.0,1613.3333333333333,3,7,1900,0,98112,47.6209,-122.302
203100435,20140918T000000,bathrooms_zero,484000.0,1,0.0,690,23244,1.0,690,0,690.0,690.0,4,7,1948,0,98053,47.6429,-121.955
3421079032,20150217T000000,bathrooms_zero,75000.0,1,0.0,670,43377,1.0,670,0,670.0,670.0,3,3,1966,0,98022,47.2638,-121.906
5702500050,20141104T000000,bathrooms_zero,280000.0,1,0.0,600,24501,1.0,600,0,600.0,600.0,2,3,1950,0,98045,47.5316,-121.749
2402100895,20140625T000000,bedrooms_33,640000.0,33,1.75,1620,6000,1.0,1040,580,49.09090909090909,1040.0,5,7,1947,0,98103,47.6878,-122.331
1222029077,20141029T000000,bedrooms_zero,265000.0,0,0.75,384,213444,1.0,384,0,,384.0,3,4,2003,0,98070,47.4177,-122.491
1453602309,20140805T000000,bedrooms_zero,288000.0,0,1.5,1430,1650,3.0,1430,0,,476.6666666666667,3,7,1999,0,98125,47.7222,-122.29
2310060040,20140925T000000,bedrooms_zero,240000.0,0,2.5,1810,5669,2.0,1810,0,,905.0,3,7,2003,0,98038,47.3493,-122.053
2569500210,20141117T000000,bedrooms_zero,339950.0,0,2.5,2290,8319,2.0,2290,0,,1145.0,3,8,1985,0,98042,47.3473,-122.151
6896300380,20141002T000000,bedrooms_zero,228000.0,0,1.0,390,5900,1.0,390,0,,390.0,2,4,1953,0,98118,47.526,-122.261
7849202299,20150218T000000,bedrooms_zero,320000.0,0,2.5,1490,7111,2.0,1490,0,,745.0,3,7,1999,0,98065,47.5261,-121.826
2954400190,20140624T000000,bedrooms_zero|bathrooms_zero,1295650.0,0,0.0,4810,28008,2.0,4810,0,,2405.0,3,12,1990,0,98053,47.6642,-122.069
3374500520,20150429T000000,bedrooms_zero|bathrooms_zero,355000.0,0,0.0,2460,8049,2.0,2460,0,,1230.0,3,8,1990,0,98031,47.4095,-122.168
3918400017,20150205T000000,bedrooms_zero|bathrooms_zero,380000.0,0,0.0,1470,979,3.0,1470,0,,490.0,3,8,2006,0,98133,47.7145,-122.356
3980300371,20140926T000000,bedrooms_zero|bathrooms_zero,142000.0,0,0.0,290,20875,1.0,290,0,,290.0,1,1,1963,0,98024,47.5308,-121.888
6306400140,20140612T000000,bedrooms_zero|bathrooms_zero,1095000.0,0,0.0,3064,4764,3.5,3064,0,,875.4285714285714,3,7,1990,0,98102,47.6362,-122.322
7849202190,20141223T000000,bedrooms_zero|bathrooms_zero,235000.0,0,0.0,1470,4800,2.0,1470,0,,735.0,3,7,1996,0,98065,47.5265,-121.828
9543000205,20150413T000000,bedrooms_zero|bathrooms_zero,139950.0,0,0.0,844,4269,1.0,844,0,,844.0,4,7,1913,0,98001,47.2781,-122.25
