example,row_id,predicted_price,base_value,reconstructed_prediction,additivity_error,feature,feature_value,shap_value,absolute_rank
lower_prediction,39,196786.8,617691.95,196786.8,0.0,bedrooms,3,372.19,17
lower_prediction,39,196786.8,617691.95,196786.8,0.0,bathrooms,1.0,-16668.03,6
lower_prediction,39,196786.8,617691.95,196786.8,0.0,sqft_living,880,-111929.33,2
lower_prediction,39,196786.8,617691.95,196786.8,0.0,sqft_lot,18109,9315.07,9
lower_prediction,39,196786.8,617691.95,196786.8,0.0,floors,1.0,2162.41,15
lower_prediction,39,196786.8,617691.95,196786.8,0.0,waterfront,0,0.0,18
lower_prediction,39,196786.8,617691.95,196786.8,0.0,view,0,-4530.46,14
lower_prediction,39,196786.8,617691.95,196786.8,0.0,condition,4,9259.68,10
lower_prediction,39,196786.8,617691.95,196786.8,0.0,grade,6,-77300.23,3
lower_prediction,39,196786.8,617691.95,196786.8,0.0,sqft_above,880,-9857.57,8
lower_prediction,39,196786.8,617691.95,196786.8,0.0,sqft_basement,0,4620.23,13
lower_prediction,39,196786.8,617691.95,196786.8,0.0,yr_built,1970,-18848.23,5
lower_prediction,39,196786.8,617691.95,196786.8,0.0,yr_renovated,0,-1653.42,16
lower_prediction,39,196786.8,617691.95,196786.8,0.0,zipcode,98042,-5630.11,12
lower_prediction,39,196786.8,617691.95,196786.8,0.0,lat,47.3634,-149124.53,1
lower_prediction,39,196786.8,617691.95,196786.8,0.0,long,-122.101,-16445.24,7
lower_prediction,39,196786.8,617691.95,196786.8,0.0,sqft_living15,940,-28995.86,4
lower_prediction,39,196786.8,617691.95,196786.8,0.0,sqft_lot15,11193,-5651.74,11
median_prediction,58,460744.04,617691.95,460744.04,0.0,bedrooms,3,194.95,17
median_prediction,58,460744.04,617691.95,460744.04,0.0,bathrooms,1.75,-3043.03,12
median_prediction,58,460744.04,617691.95,460744.04,0.0,sqft_living,2280,2591.22,13
median_prediction,58,460744.04,617691.95,460744.04,0.0,sqft_lot,139392,107075.04,2
median_prediction,58,460744.04,617691.95,460744.04,0.0,floors,1.0,1639.63,16
median_prediction,58,460744.04,617691.95,460744.04,0.0,waterfront,0,0.0,18
median_prediction,58,460744.04,617691.95,460744.04,0.0,view,0,-3816.8,11
median_prediction,58,460744.04,617691.95,460744.04,0.0,condition,3,-7423.67,8
median_prediction,58,460744.04,617691.95,460744.04,0.0,grade,8,-17323.76,4
median_prediction,58,460744.04,617691.95,460744.04,0.0,sqft_above,2280,3882.24,10
median_prediction,58,460744.04,617691.95,460744.04,0.0,sqft_basement,0,4858.66,9
median_prediction,58,460744.04,617691.95,460744.04,0.0,yr_built,1977,-34590.4,3
median_prediction,58,460744.04,617691.95,460744.04,0.0,yr_renovated,0,-2450.72,14
median_prediction,58,460744.04,617691.95,460744.04,0.0,zipcode,98092,-2296.75,15
median_prediction,58,460744.04,617691.95,460744.04,0.0,lat,47.291,-198885.69,1
median_prediction,58,460744.04,617691.95,460744.04,0.0,long,-122.118,-8957.87,6
median_prediction,58,460744.04,617691.95,460744.04,0.0,sqft_living15,2280,9282.0,5
median_prediction,58,460744.04,617691.95,460744.04,0.0,sqft_lot15,117176,-7682.95,7
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,bedrooms,5,-29513.86,9
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,bathrooms,4.0,15657.17,15
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,sqft_living,4580,439411.4,2
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,sqft_lot,4443,-51949.02,8
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,floors,3.0,-25339.82,11
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,waterfront,1,611778.55,1
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,view,4,398376.18,3
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,condition,3,-16156.45,14
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,grade,10,356898.32,4
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,sqft_above,4580,18145.69,12
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,sqft_basement,0,18017.1,13
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,yr_built,2004,28171.04,10
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,yr_renovated,0,-3632.78,16
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,zipcode,98075,-2560.91,17
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,lat,47.5682,189741.5,5
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,long,-122.059,-134990.84,6
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,sqft_living15,2710,78342.66,7
upper_prediction,51,2510606.44,617691.95,2510606.44,0.0,sqft_lot15,4443,2518.56,18
