id,date,zipcode,price,predicted_price,error,absolute_error,percentage_error,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long
6065300370,20150506T000000,98006,4208000.0,2796752.466207586,-1411247.5337924138,1411247.5337924138,-0.33537251278336827,5,6.0,7440,21540,0,0,3,12,2003,0,47.5692,-122.189
6065300840,20150501T000000,98006,2850000.0,1484490.6701162965,-1365509.3298837035,1365509.3298837035,-0.4791260806609486,4,4.0,5040,17208,0,0,5,10,1976,0,47.5701,-122.188
1973700030,20150429T000000,98034,2205000.0,1028687.8941765294,-1176312.1058234707,1176312.1058234707,-0.5334748779244766,3,2.5,3430,10177,0,0,3,10,2014,0,47.7159,-122.251
4217402115,20150421T000000,98105,3650000.0,4819648.4442490265,1169648.4442490265,1169648.4442490265,0.3204516285613771,6,4.75,5480,19401,1,4,5,11,1936,0,47.6515,-122.277
1176001310,20150304T000000,98107,2945000.0,1869254.0065215107,-1075745.9934784893,1075745.9934784893,-0.36527877537469927,5,4.5,4340,5722,0,4,3,10,2010,0,47.6715,-122.406
6072800170,20150428T000000,98006,2500000.0,1490251.4850837206,-1009748.5149162794,1009748.5149162794,-0.40389940596651175,4,4.0,3330,24354,0,0,4,10,1961,0,47.5708,-122.192
7558700030,20150413T000000,98040,5300000.0,4322754.048556249,-977245.9514437513,977245.9514437513,-0.1843860285742927,6,6.0,7390,24829,1,4,4,12,1991,0,47.5631,-122.21
3126059027,20150318T000000,98033,2650000.0,1760012.0666810067,-889987.9333189933,889987.9333189933,-0.33584450313924274,4,3.5,4700,13730,0,3,3,11,1958,1995,47.6899,-122.217
4139900180,20150420T000000,98006,2340000.0,1451172.289366414,-888827.7106335859,888827.7106335859,-0.3798409019801649,4,2.5,4500,35200,0,0,3,13,1988,0,47.5477,-122.126
1338800425,20150304T000000,98112,2140000.0,2926648.462427588,786648.4624275882,786648.4624275882,0.367592739452144,6,4.0,5110,7128,0,0,4,11,1906,0,47.6285,-122.304
1069000070,20150415T000000,98199,2795000.0,2026483.307804183,-768516.6921958169,768516.6921958169,-0.2749612494439416,5,3.25,4590,12793,0,2,5,11,1928,0,47.6453,-122.41
6096500105,20150430T000000,98109,1545000.0,779993.8665007934,-765006.1334992066,765006.1334992066,-0.49514960097036026,4,2.25,2640,3000,0,0,3,7,1908,0,47.6313,-122.344
4139420190,20150512T000000,98006,2480000.0,1726987.747503329,-753012.2524966709,753012.2524966709,-0.3036339727809157,4,5.0,5310,16909,0,4,3,12,1992,0,47.5515,-122.113
1118000320,20150508T000000,98112,3400000.0,2700749.3861636235,-699250.6138363765,699250.6138363765,-0.20566194524599307,4,4.0,4260,11765,0,0,3,11,1939,2010,47.638,-122.288
8907500070,20150413T000000,98004,5350000.0,4652631.9328073235,-697368.0671926765,697368.0671926765,-0.13034917143788347,5,5.0,8000,23985,0,4,3,12,2009,0,47.6232,-122.22
5460600110,20150423T000000,98040,1050000.0,1736591.73115832,686591.7311583201,686591.7311583201,0.6538968868174477,6,4.0,5310,12741,0,2,3,10,1967,0,47.5696,-122.213
5700004028,20150417T000000,98144,2450000.0,1771701.212416464,-678298.787583536,678298.787583536,-0.27685664799328,4,4.25,4250,6552,0,3,4,10,2008,0,47.5747,-122.283
5035300325,20150414T000000,98199,1810000.0,1146411.0374059756,-663588.9625940244,663588.9625940244,-0.3666237362397925,3,2.25,2910,15626,0,0,4,9,1923,0,47.6534,-122.412
4389201095,20150511T000000,98004,3650000.0,3001148.121946672,-648851.878053328,648851.878053328,-0.1777676378228296,5,3.75,5020,8694,0,1,3,12,2007,0,47.6146,-122.213
7631800015,20150407T000000,98166,2510000.0,1864232.9116895564,-645767.0883104436,645767.0883104436,-0.25727772442647157,3,3.25,5480,57990,1,4,3,11,1991,0,47.4558,-122.371
